Elution,Type,Cartridge,Count
1,dry,1,1977
2,dry,1,1902
3,dry,1,1607
4,dry,1,1935
5,dry,1,1818
6,dry,1,1660
7,dry,1,1443
8,dry,1,1815
9,dry,1,1642
1,wet,1,1705
2,wet,1,1815
3,wet,1,1686
4,wet,1,1863
5,wet,1,1784
6,wet,1,1673
7,wet,1,1737
8,wet,1,1600
9,wet,1,1832
1,dry,2,1887
2,dry,2,1932
3,dry,2,1900
4,dry,2,1731
5,dry,2,1787
6,dry,2,1823
7,dry,2,1400
8,dry,2,1970
9,dry,2,1756
1,wet,2,1895
2,wet,2,1967
3,wet,2,1801
4,wet,2,1862
5,wet,2,1914
6,wet,2,1732
7,wet,2,1852
8,wet,2,1939
9,wet,2,1807
1,dry,3,1831
2,dry,3,1809
3,dry,3,1906
4,dry,3,1688
5,dry,3,1935
6,dry,3,1666
7,dry,3,1791
8,dry,3,1913
9,dry,3,1920
1,wet,3,1849
2,wet,3,1695
3,wet,3,1746
4,wet,3,1813
5,wet,3,1932
6,wet,3,1659
7,wet,3,1737
8,wet,3,1723
9,wet,3,1920